Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Idaho,2019,44,11/2/2019,299,276,,76,15,17,,19,,,,55,10,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2019,45,11/9/2019,285,256,,55,12,14,0,23,,,,52,16,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2019,46,11/16/2019,284,257,,42,,12,,19,,,,75,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2019,47,11/23/2019,238,212,,46,,,,20,,,,53,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Idaho,2019,48,11/30/2019,267,234,,45,,,,17,,,,63,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Idaho,2019,49,12/7/2019,268,251,,51,,16,,13,,,,58,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2019,50,12/14/2019,282,253,,62,10,17,,17,,,,64,16,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2019,51,12/21/2019,313,281,,67,13,19,,17,,,,59,11,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2019,52,12/28/2019,285,256,,59,,19,,17,11,,,51,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,1,1/4/2020,278,256,,68,,14,,19,,,,44,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,2,1/11/2020,292,270,,71,11,11,,25,,,,58,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,3,1/18/2020,293,268,,59,12,12,,24,,,,65,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,4,1/25/2020,275,247,,51,12,11,,21,,,,57,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,5,2/1/2020,249,223,0,44,,,,19,,,,56,15,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,6,2/8/2020,292,264,,50,12,12,,18,,,,63,16,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,7,2/15/2020,279,251,,48,,11,,16,,,,63,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,8,2/22/2020,318,291,,64,12,12,,20,,,,69,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,9,2/29/2020,290,269,,67,,15,,20,,,,58,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,10,3/7/2020,278,258,0,66,10,,,14,,,,61,10,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,11,3/14/2020,283,255,0,53,,16,,22,,,,64,13,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,12,3/21/2020,308,281,,66,,11,,17,0,,,68,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,13,3/28/2020,332,302,,64,13,20,,20,,,,59,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,14,4/4/2020,271,249,,51,,19,11,,,,,60,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,15,4/11/2020,305,284,,62,10,15,,19,,,,53,12,22,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,16,4/18/2020,284,258,,57,10,18,0,17,,,,47,16,12,12,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,17,4/25/2020,262,243,0,51,,10,,20,,,,62,10,12,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,18,5/2/2020,251,227,,50,,,,17,,,10,64,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,19,5/9/2020,304,275,0,72,10,17,,13,,,,51,16,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,20,5/16/2020,269,246,,49,,,,14,,,11,50,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,21,5/23/2020,260,236,,40,13,,,14,,,11,46,13,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,22,5/30/2020,276,249,,61,,10,,17,0,,13,61,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,23,6/6/2020,286,265,,67,,11,,16,,,16,68,13,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,24,6/13/2020,266,252,,55,,16,,12,,,10,61,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,25,6/20/2020,172,163,,42,,12,,11,,,,38,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Illinois,2019,1,1/5/2019,"2,176","2,020",35,465,63,80,49,138,30,57,25,524,96,0,0,,,,,,,,,,,,,,,
Illinois,2019,2,1/12/2019,"2,109","1,976",37,468,60,84,39,94,29,55,29,501,125,0,0,,,,,,,,,,,,,,,
Illinois,2019,3,1/19/2019,"2,143","2,008",33,477,45,80,51,102,33,41,21,540,147,0,0,,,,,,,,,,,,,,,
Illinois,2019,4,1/26/2019,"2,130","1,990",33,493,63,76,53,94,25,48,22,482,126,0,0,,,,,,,,,,,,,,,
Illinois,2019,5,2/2/2019,"2,204","2,056",30,420,79,85,59,120,31,51,24,585,122,0,0,,,,,,,,,,,,,,,
Illinois,2019,6,2/9/2019,"2,269","2,090",46,472,53,118,60,118,39,43,30,540,110,0,0,,,,,,,,,,,,,,,
Illinois,2019,7,2/16/2019,"2,131","1,997",27,442,64,74,64,118,37,38,19,539,121,0,0,,,,,,,,,,,,,,,
Illinois,2019,8,2/23/2019,"2,105","1,979",32,432,58,72,51,127,24,59,28,532,131,0,0,,,,,,,,,,,,,,,
Illinois,2019,9,3/2/2019,"2,103","1,952",32,471,66,75,56,112,23,42,21,514,119,0,0,,,,,,,,,,,,,,,
Illinois,2019,10,3/9/2019,"2,112","1,949",38,435,51,96,48,119,42,45,25,513,107,0,0,,,,,,,,,,,,,,,
Illinois,2019,11,3/16/2019,"2,160","2,012",37,428,45,90,63,130,32,50,18,539,136,0,0,,,,,,,,,,,,,,,
Illinois,2019,12,3/23/2019,"2,053","1,904",28,436,53,71,70,116,28,43,22,477,106,0,0,,,,,,,,,,,,,,,
Illinois,2019,13,3/30/2019,"2,092","1,929",26,462,56,88,48,115,37,36,22,498,121,0,0,,,,,,,,,,,,,,,
Illinois,2019,14,4/6/2019,"2,122","1,949",40,467,57,70,53,128,32,52,29,491,115,0,0,,,,,,,,,,,,,,,
Illinois,2019,15,4/13/2019,"1,969","1,826",29,437,49,67,27,121,24,59,27,436,111,0,0,,,,,,,,,,,,,,,
Illinois,2019,16,4/20/2019,"2,014","1,857",36,431,55,74,40,102,30,49,20,483,120,0,0,,,,,,,,,,,,,,,
Illinois,2019,17,4/27/2019,"1,980","1,798",30,454,51,72,33,97,26,43,20,467,98,0,0,,,,,,,,,,,,,,,
Illinois,2019,18,5/4/2019,"1,985","1,840",31,441,50,73,30,97,24,49,19,475,117,0,0,,,,,,,,,,,,,,,
Illinois,2019,19,5/11/2019,"1,996","1,830",35,425,42,66,31,94,23,43,25,516,106,0,0,,,,,,,,,,,,,,,
Illinois,2019,20,5/18/2019,"1,995","1,816",29,453,54,63,43,97,24,51,18,474,108,0,0,,,,,,,,,,,,,,,
Illinois,2019,21,5/25/2019,"2,044","1,877",25,494,53,91,30,114,24,56,18,440,109,0,0,,,,,,,,,,,,,,,
Illinois,2019,22,6/1/2019,"1,998","1,800",26,424,60,70,45,102,31,46,20,466,113,0,0,,,,,,,,,,,,,,,
Illinois,2019,23,6/8/2019,"1,975","1,816",30,430,49,76,36,117,26,51,24,480,98,0,0,,,,,,,,,,,,,,,
Illinois,2019,24,6/15/2019,"1,898","1,750",27,443,49,74,35,91,24,53,25,419,106,0,0,,,,,,,,,,,,,,,
Illinois,2019,25,6/22/2019,"1,943","1,781",30,478,57,86,36,87,19,43,23,443,89,0,0,,,,,,,,,,,,,,,
Illinois,2019,26,6/29/2019,"1,908","1,733",30,446,33,56,33,101,22,36,27,449,102,0,0,,,,,,,,,,,,,,,
Illinois,2019,27,7/6/2019,"1,951","1,761",26,442,53,63,39,98,25,57,17,474,98,0,0,,,,,,,,,,,,,,,
Illinois,2019,28,7/13/2019,"1,856","1,688",31,415,48,47,31,106,28,43,23,425,106,0,0,,,,,,,,,,,,,,,
Illinois,2019,29,7/20/2019,"1,935","1,769",28,467,58,66,28,87,25,47,22,455,96,0,0,,,,,,,,,,,,,,,
Illinois,2019,30,7/27/2019,"1,866","1,690",26,409,48,61,30,93,28,43,18,453,106,0,0,,,,,,,,,,,,,,,
Illinois,2019,31,8/3/2019,"1,909","1,731",21,458,45,70,36,89,23,48,19,456,106,0,0,,,,,,,,,,,,,,,
Illinois,2019,32,8/10/2019,"1,877","1,724",24,421,45,78,27,80,18,38,28,447,95,0,0,,,,,,,,,,,,,,,
Illinois,2019,33,8/17/2019,"1,856","1,705",32,431,54,62,26,93,33,36,22,425,103,0,0,,,,,,,,,,,,,,,
Illinois,2019,34,8/24/2019,"1,892","1,715",24,429,38,59,28,98,23,48,17,424,105,0,0,,,,,,,,,,,,,,,
Illinois,2019,35,8/31/2019,"1,907","1,712",25,445,49,67,34,85,22,47,20,422,108,0,0,,,,,,,,,,,,,,,
Illinois,2019,36,9/7/2019,"1,843","1,682",27,443,42,58,28,86,23,53,19,403,81,0,0,,,,,,,,,,,,,,,
Illinois,2019,37,9/14/2019,"1,963","1,769",35,418,54,63,30,110,26,44,18,485,93,0,0,,,,,,,,,,,,,,,
Illinois,2019,38,9/21/2019,"1,962","1,809",26,465,42,83,46,99,25,46,13,427,119,0,0,,,,,,,,,,,,,,,
Illinois,2019,39,9/28/2019,"2,004","1,814",27,449,66,63,33,88,26,47,23,459,124,0,0,,,,,,,,,,,,,,,
Illinois,2019,40,10/5/2019,"1,970","1,811",41,462,42,81,32,85,24,40,22,455,112,0,0,,,,,,,,,,,,,,,
Illinois,2019,41,10/12/2019,"2,023","1,852",39,454,47,64,38,111,23,49,25,442,124,0,0,,,,,,,,,,,,,,,
Illinois,2019,42,10/19/2019,"2,124","1,951",32,455,57,88,36,85,20,47,25,515,118,0,0,,,,,,,,,,,,,,,
Illinois,2019,43,10/26/2019,"2,126","1,976",40,498,60,86,29,96,19,47,25,514,123,0,0,,,,,,,,,,,,,,,
Illinois,2019,44,11/2/2019,"2,021","1,852",29,447,34,72,41,96,29,50,31,477,117,0,0,,,,,,,,,,,,,,,
Illinois,2019,45,11/9/2019,"2,113","1,947",39,459,61,78,29,93,43,56,34,468,121,0,0,,,,,,,,,,,,,,,
Illinois,2019,46,11/16/2019,"2,129","1,976",39,485,59,82,36,108,29,52,20,498,128,0,0,,,,,,,,,,,,,,,
Illinois,2019,47,11/23/2019,"2,024","1,882",30,415,59,94,26,82,23,46,24,502,140,0,0,,,,,,,,,,,,,,,
Illinois,2019,48,11/30/2019,"2,091","1,920",20,445,53,89,40,109,27,41,28,516,150,0,0,,,,,,,,,,,,,,,
Illinois,2019,49,12/7/2019,"2,082","1,898",30,446,54,78,37,111,29,42,21,516,124,0,0,,,,,,,,,,,,,,,
Illinois,2019,50,12/14/2019,"2,132","1,947",30,445,47,74,38,105,29,50,34,485,114,0,0,,,,,,,,,,,,,,,
Illinois,2019,51,12/21/2019,"2,103","1,938",30,429,56,84,33,107,25,45,34,468,115,0,0,,,,,,,,,,,,,,,
Illinois,2019,52,12/28/2019,"2,172","1,974",34,453,61,72,43,134,28,51,36,497,117,0,0,,,,,,,,,,,,,,,
Illinois,2020,1,1/4/2020,"2,190","2,009",29,427,57,74,44,106,43,57,31,519,119,0,0,,,,,,,,,,,,,,,
Illinois,2020,2,1/11/2020,"2,250","2,085",46,477,65,93,57,131,27,43,29,510,131,0,0,,,,,,,,,,,,,,,
Illinois,2020,3,1/18/2020,"2,231","2,070",30,475,59,94,62,116,39,70,30,486,140,0,0,,,,,,,,,,,,,,,
Illinois,2020,4,1/25/2020,"2,200","2,036",32,447,72,87,55,110,21,51,23,516,136,0,0,,,,,,,,,,,,,,,
Illinois,2020,5,2/1/2020,"2,138","1,992",33,450,60,76,72,120,26,60,37,480,131,0,0,,,,,,,,,,,,,,,
Illinois,2020,6,2/8/2020,"2,232","2,058",26,448,63,74,52,117,32,58,37,542,116,0,0,,,,,,,,,,,,,,,
Illinois,2020,7,2/15/2020,"2,219","2,061",32,451,59,88,61,117,32,60,28,524,130,0,0,,,,,,,,,,,,,,,
Illinois,2020,8,2/22/2020,"2,205","2,056",35,460,65,82,63,118,40,55,28,501,116,0,0,,,,,,,,,,,,,,,
Illinois,2020,9,2/29/2020,"2,210","2,036",32,460,56,86,62,110,36,49,42,535,115,0,0,,,,,,,,,,,,,,,
Illinois,2020,10,3/7/2020,"2,252","2,086",39,467,65,73,92,134,27,53,30,521,119,0,0,,,,,,,,,,,,,,,
Illinois,2020,11,3/14/2020,"2,193","2,033",35,455,54,75,87,98,38,61,37,530,127,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Illinois,2020,12,3/21/2020,"2,282","2,118",36,474,49,101,83,125,33,57,58,505,118,14,13,,,,,,,,,,,,,,,
Illinois,2020,13,3/28/2020,"2,295","2,168",28,446,69,111,80,129,40,55,49,483,129,72,71,,,,,,,,,,,,,,,
Illinois,2020,14,4/4/2020,"2,616","2,452",33,478,72,103,76,125,29,61,46,541,108,293,287,,,,,,,,,,,,,,,
Illinois,2020,15,4/11/2020,"2,865","2,698",31,465,87,96,55,124,24,58,69,596,135,469,459,,,,,,,,,,,,,,,
Illinois,2020,16,4/18/2020,"2,899","2,748",23,457,83,103,72,122,27,60,52,533,130,580,558,,,,,,,,,,,,,,,
Illinois,2020,17,4/25/2020,"2,978","2,816",22,453,63,97,50,105,32,46,70,557,133,651,630,,,,,,,,,,,,,,,
Illinois,2020,18,5/2/2020,"2,915","2,764",26,441,66,107,52,116,27,47,71,523,134,717,677,,,,,,,,,,,,,,,
Illinois,2020,19,5/9/2020,"2,924","2,763",29,422,63,86,51,100,30,48,104,504,131,762,730,,,,,,,,,,,,,,,
Illinois,2020,20,5/16/2020,"2,819","2,693",30,466,74,82,37,87,30,57,113,463,120,670,640,,,,,,,,,,,,,,,
Illinois,2020,21,5/23/2020,"2,563","2,463",41,450,57,81,47,86,30,49,112,468,130,542,510,,,,,,,,,,,,,,,
Illinois,2020,22,5/30/2020,"2,469","2,353",21,431,61,80,34,110,21,49,164,443,106,454,426,,,,,,,,,,,,,,,
Illinois,2020,23,6/6/2020,"2,407","2,282",37,436,59,75,29,79,30,37,174,436,117,395,363,,,,,,,,,,,,,,,
Illinois,2020,24,6/13/2020,"2,076","2,008",16,407,55,76,22,79,21,39,172,395,105,251,234,,,,,,,,,,,,,,,
Illinois,2020,25,6/20/2020,"1,734","1,687",13,342,40,74,19,77,14,40,193,352,108,98,81,,,,,,,,,,,,,,,
Indiana,2019,1,1/5/2019,"1,326","1,227",19,256,48,57,28,104,22,29,,305,68,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,2,1/12/2019,"1,329","1,226",25,277,39,45,17,103,24,30,,281,63,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,3,1/19/2019,"1,276","1,188",25,232,42,50,19,112,35,29,,277,70,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,4,1/26/2019,"1,325","1,242",25,254,46,53,22,107,24,25,12,295,78,0,0,,,,,,,,,,,,,,,
Indiana,2019,5,2/2/2019,"1,387","1,287",32,271,52,63,23,96,17,34,,323,71,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,6,2/9/2019,"1,407","1,289",19,260,36,44,32,101,28,28,15,315,75,0,0,,,,,,,,,,,,,,,
Indiana,2019,7,2/16/2019,"1,309","1,219",19,251,41,52,38,113,30,34,,283,53,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,8,2/23/2019,"1,367","1,252",26,248,57,51,20,108,24,35,,297,64,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,9,3/2/2019,"1,277","1,181",30,265,42,62,27,80,16,30,,287,53,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,10,3/9/2019,"1,331","1,220",29,240,56,61,31,90,22,20,,282,81,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,11,3/16/2019,"1,375","1,275",24,268,51,48,37,104,21,27,11,339,54,0,0,,,,,,,,,,,,,,,
Indiana,2019,12,3/23/2019,"1,337","1,243",34,250,36,57,28,109,26,22,,314,65,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,13,3/30/2019,"1,317","1,225",19,283,52,55,35,90,29,26,,264,77,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,14,4/6/2019,"1,356","1,248",22,269,40,39,27,86,25,22,11,293,76,0,0,,,,,,,,,,,,,,,
Indiana,2019,15,4/13/2019,"1,251","1,148",21,248,32,45,22,79,23,37,,266,69,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,16,4/20/2019,"1,262","1,171",31,253,41,38,18,96,23,26,,311,74,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,17,4/27/2019,"1,276","1,182",31,252,47,41,22,78,20,37,,305,64,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,18,5/4/2019,"1,262","1,147",21,243,43,61,15,91,25,28,,277,66,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,19,5/11/2019,"1,290","1,191",29,258,45,44,19,102,27,26,,289,66,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,20,5/18/2019,"1,255","1,156",23,239,47,46,12,106,26,34,10,295,50,0,0,,,,,,,,,,,,,,,
Indiana,2019,21,5/25/2019,"1,300","1,192",29,272,35,51,18,96,22,20,13,303,70,0,0,,,,,,,,,,,,,,,
Indiana,2019,22,6/1/2019,"1,213","1,113",19,241,21,56,14,82,19,27,11,331,47,0,0,,,,,,,,,,,,,,,
Indiana,2019,23,6/8/2019,"1,214","1,094",15,254,28,50,17,92,20,21,,244,73,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,24,6/15/2019,"1,206","1,116",16,293,29,42,15,88,18,27,,287,60,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,25,6/22/2019,"1,233","1,121",20,259,31,48,11,82,29,30,,276,58,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,26,6/29/2019,"1,219","1,118",17,266,30,61,16,84,21,34,15,259,46,0,0,,,,,,,,,,,,,,,
Indiana,2019,27,7/6/2019,"1,201","1,069",17,258,40,44,12,79,22,20,,272,60,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,28,7/13/2019,"1,171","1,053",22,229,32,37,15,77,19,25,10,240,79,0,0,,,,,,,,,,,,,,,
Indiana,2019,29,7/20/2019,"1,258","1,137",17,267,44,47,10,78,16,21,15,270,78,0,0,,,,,,,,,,,,,,,
Indiana,2019,30,7/27/2019,"1,155","1,035",17,231,31,46,,69,23,26,,239,66,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,31,8/3/2019,"1,177","1,070",20,262,33,44,14,81,23,21,,253,60,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,32,8/10/2019,"1,186","1,076",19,236,39,44,,88,24,33,,249,55,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,33,8/17/2019,"1,247","1,141",21,259,32,51,13,81,24,23,,286,74,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,34,8/24/2019,"1,141","1,039",18,246,29,47,,88,21,24,,249,53,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,35,8/31/2019,"1,147","1,056",21,236,23,51,,88,17,22,,261,54,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,36,9/7/2019,"1,217","1,080",28,252,31,36,12,88,28,28,11,254,58,0,0,,,,,,,,,,,,,,,
Indiana,2019,37,9/14/2019,"1,284","1,159",21,274,43,48,,81,20,14,11,275,62,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
Indiana,2019,38,9/21/2019,"1,208","1,107",25,261,37,37,12,93,18,25,14,235,62,0,0,,,,,,,,,,,,,,,
Indiana,2019,39,9/28/2019,"1,232","1,122",25,271,35,49,10,64,21,29,,274,76,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,40,10/5/2019,"1,190","1,077",23,239,38,56,12,82,19,23,12,265,50,0,0,,,,,,,,,,,,,,,
Indiana,2019,41,10/12/2019,"1,246","1,127",30,278,27,43,13,86,20,33,,264,72,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,42,10/19/2019,"1,266","1,141",23,263,35,54,17,81,18,27,13,277,57,0,0,,,,,,,,,,,,,,,
Indiana,2019,43,10/26/2019,"1,272","1,164",20,260,34,51,15,69,25,21,,281,73,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,44,11/2/2019,"1,341","1,227",28,275,48,60,14,97,28,30,,263,61,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,45,11/9/2019,"1,278","1,191",23,247,49,49,17,82,21,24,11,305,74,0,0,,,,,,,,,,,,,,,
Indiana,2019,46,11/16/2019,"1,291","1,181",31,260,41,57,14,90,15,26,,271,62,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,47,11/23/2019,"1,321","1,213",22,288,47,45,11,98,25,34,10,297,56,0,0,,,,,,,,,,,,,,,
Indiana,2019,48,11/30/2019,"1,320","1,213",22,239,60,54,,92,24,27,,300,72,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,49,12/7/2019,"1,339","1,208",20,280,37,62,22,95,30,33,,288,66,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,50,12/14/2019,"1,326","1,220",29,242,48,45,23,90,29,32,,291,64,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,51,12/21/2019,"1,404","1,302",21,256,47,71,26,106,16,38,,297,63,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,52,12/28/2019,"1,325","1,222",27,262,46,46,20,105,22,26,,295,77,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,1,1/4/2020,"1,467","1,356",27,258,47,51,42,115,30,40,10,334,61,0,0,,,,,,,,,,,,,,,
